sha256_hash,file_type,first_seen,tags
79919ef76585d0c1ae83b081c852e570598705583142fd1e5ae71ba7b32e8318,dll,2020-02-28 07:16:06,sodinokibi
e98671b2d66ed8e660d8653d19773ca46706a43c3d489b947df1fd4b0cefce41,dll,2020-02-27 19:23:42,sodinokibi
6fcfa488c67737f9dd617995bb0d67087feb4f84d6ee1fdd26a8fc1e01931b2a,exe,2020-02-27 19:15:24,njrat
c867959e7f75f00eb11dae861bb9c198421215bb10f88e0c26e3c36aa93bd17a,dll,2020-02-27 15:10:39,sodinokibi
61772167a95f7d7eb84337c06144cbba21b88b0ace8ef24d59426c7a50e6acc6,exe,2020-02-28 03:22:22,revengerat
42a01f37ad7b9284671312c98a78a2f96b8aec1d25af8be7780bf1e8a9d64dd1,exe,2020-02-27 22:36:30,njrat
747215655246587e4db7d04356ca00afa7fbe25b7fd1f3ba4f182670a9b86519,dll,2020-02-27 23:40:28,sodinokibi
b697861cc38f600c83f679c0b8fa3347bf5f869d89465c07101c92a5eb5f8163,exe,2020-02-27 18:24:50,njrat
efbe05cbdbc16fea15a71a18c891dc9cb2e88d13de35b515a616a4a94bada0b3,exe,2020-02-27 16:48:37,njrat
fe30c3e3acd5449124af4d0f78bd33a4e6a35d4240d9c7ad8dea1a1332e1312d,exe,2020-02-28 04:00:56,njrat
5d8446a23b80e9b6cb7406c2ba81d606685cf11b24e9eb8309153a47b04f3aad,exe,2020-02-28 21:46:11,blackshades ImminentRAT
0f9f2ed3669af8502dfad754d0dc2e7682fe7bc4d0044f7cc3ca61a0e1170d15,exe,2020-02-27 16:48:16,revengerat
37347923c50a562b1f3a24212e85b9490fbbed9ae9c395d3d3f9db51cbc987f2,exe,2020-02-27 19:31:51,njrat
86bbaa6bc1ede93f7654d889933a336fcd781039797a176dba25a1505cc9b033,exe,2020-02-27 21:58:07,njrat
b45741c0c50256480cdffc15bd14a3770d895232c1e482e91f5e298daea023fc,exe,2020-02-28 07:42:01,revengerat
4f54c2e0def0a2a5b478220b3ddbccc3ee2a7302cddbfe0e8e1d394587589d88,exe,2020-02-27 15:44:42,parasite
9be010b45a81a22f2d50c1d35f31384152c5b91dd7e3a1fe81b2c4fa95bb468c,exe,2020-02-27 16:43:17,revengerat
ecb05f56049ff565d1a77351ac21374b9ba05e3cb5ecabbd113d44a254d4e642,exe,2020-02-25 11:39:33,younglotus
e2a886dff11b3c7d342a1374bcb9f43697ff7ffda9470b0abc6cb795171f3e4c,exe,2020-02-27 20:08:08,njrat
d45ab6328d392df91c86b67708bf1994f8b3dd263edd88b91ff0b02e738fb250,exe,2020-02-27 15:08:16,revengerat
4c1b6befb06152412567869f27c006cba39f4ac3b1c5dbcf8694a65367444df5,exe,2020-02-27 14:44:17,darkcomet
aece2185bb51693d72cdfd7bc57474dcc659b72bf6a343320783c4c039598b43,exe,2020-02-27 22:15:52,njrat
e00d93aa468014f173c109744b794332846f7dd7ac5151009612ede7eaa1baea,exe,2020-02-28 02:59:21,njrat
31b10f1a4a6bb1e74af48d786c3c5957d1fdde4307adb24d5cbf06f278fc18ae,exe,2020-02-27 16:47:22,revengerat
ec4f2c04c1b71661872758781a7cee0973021e265fba57fbc8dbb8a4bf3614e5,exe,2020-02-28 02:17:03,njrat
94ea4614b480418f94bceb76713f109687a6b775244a58d259d34c031e2becf9,dll,2020-02-27 19:08:50,sodinokibi
8057370f5a52466f468edc174017de11e382e8d727d7ea494becb7fe24ac3bb5,exe,2020-02-28 06:07:25,njrat
af7a14a249990479f187b3d2d0897118eeca857482ccb0215dc3c77bc908213f,dll,2020-02-28 02:44:21,sodinokibi
218ad6e33041a0bdb60c8de03e7dcdf42e5392e106a4b5b0436cdaa02a8dd2c9,dll,2020-02-25 22:13:45,sodinokibi
c8d8f79ad37249faa03dae92947af35d310fffc28b7597507246d1f8c8eb9fea,exe,2020-02-27 14:43:20,njrat
f3d79fdaaf41d0bafb0950845f7a50a16995a376a767ebe09cde3d93a72f400b,exe,2020-02-27 14:56:29,njrat
89f9499b3426a05ce92301481d038fe4779549c30f38c45556cbdb2558a18944,dll,2020-02-27 14:56:41,sodinokibi
e46cd935e22dcbb21e8a802f714a28f91ffd53351655f28c1df0b418d6d535b5,exe,2020-02-28 06:04:39,revengerat
5b441845c2a6dd856d00a56b6dc812a13da0fee80a10e55ed7afd103914e6513,exe,2020-02-26 01:21:10,Emotet quasarrat
7e7edb63b2dd35481b73828564d123d6b8873a3a3cef8767ce3b0a9df89cc336,dll,2020-02-27 21:38:52,sodinokibi
59fc347dac3dd1c78d62393589818b5417ca041d697d155040988b14562bc797,exe,2020-02-24 10:05:18,exe geo Gozi ITA Ursnif
aa918b196328f1fe341b5b48cb5d28f31a94b92b279fcf36baaea55a0a8886f1,exe,2020-02-27 21:37:42,njrat
127e69ed4de5d98d060b70789551d2967c1ebbb895037a0fe20ff7229440ef49,exe,2020-02-26 16:26:34,quasarrat
98c053d0a020c3146a1cfee09150fb2fc342f501ce00b0a898935c042ebe7016,exe,2020-02-28 06:16:48,revengerat
